Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1,3.14,Y,ADPBA1G,3.14,2.428,2,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,2-3,2.31,Y,ADPBA1G,4.62,3.572,2,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1,3.14,Y,ADPBA1L,3.14,2.428,2,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,2-3,2.31,Y,ADPBA1L,4.62,3.572,2,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1-2,0.72,Y,ADPMH1,1.44,1,-,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-4, 5-9",2.75,Y,ADPPV1,24.75,19,4,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-2,0.1,Y,ADPPV2,0.2,0.2,-,
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,0.02,Y,ADPPV3,0.02,0.02,-,
AGL Hydro Partnership,Agl Kemps Creek,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-2,0.5,Y,AGLSITA1,1,2,0,
Snowy Hydro Limited,Angaston Power Station,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1-30,1.667,Y,ANGAST1,50,50,14,
