cct_type,cct_element,f_bus,t_bus,f_bus_x,f_bus_y,t_bus_x,t_bus_y,linestring,slijnem_b,slijnem_f,slijnem_b_p,slijnem_f_p,slijnem_b_m,slijnem_f_m,slijnem_b_r,slijnem_f_r
branch,xf_3625_to_3007_2_2winding_transformer,73,299,-2.63,5.728,-2.818,5.784,"LINESTRING(-2.63 5.728, -2.818 5.784)",21.661035900306107,34.37507932153323,40.700488721294825,42.812768556155966,13.082365261203927,20.393421116946335,39.938430265602854,42.79741817777128
branch,xf_2194_to_2171_2_2winding_transformer,1644,980,1.494,-5.41,1.564,-6.462,"LINESTRING(1.494 -5.41, 1.564 -6.462)",7.5856515942129095,7.585513148905991,9.128595363321404,9.128265030737888,6.4422241354638325,6.442228996904298,9.127404280175694,9.121028559522093
branch,xf_2228_to_2011_2_2winding_transformer,1617,1990,0.032,-7.716,-0.006,-7.868,"LINESTRING(0.032 -7.716, -0.006 -7.868)",19.08103198039603,6.529702404456319,23.10456822400703,15.011610994080609,16.718603243017235,2.055381182671891,23.350063449398014,9.63272009836679
branch,xf_3302_3304_3303_3_3winding_transformer_br2,43,1205,0.276,6.312,0.276,6.312,"LINESTRING(0.276 6.312, 0.276 6.312)",21.91963836947129,19.379934507512857,24.793021780795087,24.16224537258578,18.182333422263117,17.25763149459616,18.78411987387701,18.3391114562463
branch,line_3009_to_3475_2_cp,1110,1135,-2.626,8.136,-2.354,8.09,"LINESTRING(-2.626 8.136, -2.354 8.09)",1.0029683823547368,1.0002125588246957,1.7326078390146722,1.0031390371300715,1.0031080518830093,0.9989873172750744,1.0028132137671704,1.0031310437481373
branch,xf_4275_to_4450_2_2winding_transformer,1335,1794,-4.582,-5.908,-4.716,-6.014,"LINESTRING(-4.582 -5.908, -4.716 -6.014)",11.696453332380045,11.696446434212111,14.804156132321545,14.804743643797597,9.743987595700771,9.743987712714127,14.805195214020733,14.800331937904776
branch,line_1206_to_1646_1_cp_merged_with_line_1365_to_1646_1_pi,1393,584,1.734,-2.658,1.632,-2.928,"LINESTRING(1.734 -2.658, 1.632 -2.928)",27.046855338475623,27.16179148650863,31.568718929136132,31.600352211360907,23.636950840705257,23.73021280693824,31.594034071678788,31.654894578736204
branch,xf_4363_to_4018_1_2winding_transformer,126,1672,-5.514,-3.954,-5.64,-4.04,"LINESTRING(-5.514 -3.954, -5.64 -4.04)",32.47231316647424,32.481677594093256,43.335229873323215,38.917039606890064,28.151677800911113,28.17070451053713,41.8373663235622,48.41792782418771
branch,xf_4344_to_4490_2_2winding_transformer,1846,233,-5.102,-4.306,-5.248,-4.322,"LINESTRING(-5.102 -4.306, -5.248 -4.322)",19.428804629022142,19.423548380391857,23.483318278391852,23.48283166471472,16.437707547788477,16.434090221703325,23.47624399487646,23.479636473024698
branch,xf_2194_to_2170_3_2winding_transformer,1644,901,1.494,-5.41,1.61,-6.402,"LINESTRING(1.494 -5.41, 1.61 -6.402)",11.064238030764747,11.064234037865385,13.287725902504352,13.287689319110186,9.399332153314868,9.39932880332015,13.287703095031725,13.287681744579613
branch,xf_4331_to_4431_1_2winding_transformer,1600,1044,-3.93,-6.682,-3.956,-7.046,"LINESTRING(-3.93 -6.682, -3.956 -7.046)",8.856043513876944,8.86056212511326,10.666601702775742,10.66862213838366,7.5083503958909725,7.513548865358239,10.6652562927585,10.672028547947006
branch,line_4208_to_4209_1_cp,621,101,-3.454,-3.12,-3.036,-3.294,"LINESTRING(-3.454 -3.12, -3.036 -3.294)",6.27486096213411,5.5022571688298685,6.55080966081556,5.629795476330171,6.2126188528696655,5.771489379223354,6.4871271952524125,5.412033557559877
branch,xf_4181_to_4406_4_2winding_transformer,360,458,-6.344,-3.52,-6.768,-3.75,"LINESTRING(-6.344 -3.52, -6.768 -3.75)",0.7305127754844909,0.7305099287185451,0.728402892279096,0.6888929928607141,0.7312368630003214,0.7315435255591515,0.7284028920058102,0.686715253231536
